year,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories,Nunavut
1991,579644,130369,914969,745567,7067396,10431316,1109604,1002713,2592306,3373787,28871,38724,22154
1992,580109,130827,919451,748121,7110010,10572205,1112689,1003995,2632672,3468802,30084,39416,22883
1993,579977,132177,923925,748812,7156537,10690038,1117618,1006900,2667292,3567772,30337,39820,23559
1994,574466,133437,926871,750185,7192403,10819146,1123230,1009575,2700606,3676075,29684,40578,24407
1995,567397,134415,928120,750943,7219219,10950119,1129150,1014187,2734519,3777390,30442,41432,24978
1996,559698,135737,931327,752268,7246897,11082903,1134196,1018945,2775133,3874317,31387,41741,25669
1997,550911,136095,932402,752511,7274611,11227651,1136128,1017902,2829848,3948583,31797,41625,25884
1998,539843,135804,931836,750530,7295935,11365901,1137489,1017332,2899066,3983113,31149,40802,26373
1999,533329,136281,933784,750601,7323250,11504759,1142448,1014524,2952692,4011375,30785,40638,26820
2000,527966,136470,933821,750517,7356951,11683290,1147313,1007565,3004198,4039230,30431,40480,27498
2001,522046,136665,932494,749820,7396456,11897534,1151454,1000239,3058108,4076950,30158,40845,28133
2002,519481,136880,935179,749372,7441656,12094174,1156680,996807,3128429,4100564,30336,41699,28822
2003,518459,137227,937717,749441,7485753,12245039,1163596,996386,3183065,4124482,30941,42600,29322
2004,517423,137680,939664,749419,7535590,12391421,1173238,997283,3238668,4155651,31455,43306,29857
2005,514332,138064,937926,748057,7581476,12528663,1178264,993500,3321768,4196062,31902,43400,30339
2006,510592,137867,937882,745621,7631966,12661878,1183562,992314,3421434,4241794,32272,43179,30813
2007,509055,137711,935115,745433,7692916,12764806,1189451,1002086,3514147,4290984,32554,43372,31395
2008,511581,138749,935897,746877,7761725,12883583,1197775,1017404,3595856,4349336,33083,43360,31892
2009,516751,139891,938208,749956,7843383,12998345,1208556,1034819,3678996,4410506,33731,43156,32597
2010,522009,141654,942107,753035,7929222,13135778,1220780,1051443,3732082,4465546,34596,43285,33352
2011,524999,143963,944274,755705,8005090,13261381,1233649,1066026,3789030,4502104,35411,43504,34192
2012,526345,144530,943635,758378,8061101,13390632,1249975,1083755,3874548,4566769,36234,43648,34672
2013,527114,144094,940434,758544,8110880,13510781,1264620,1099736,3981011,4630077,36521,43805,35337
2014,528159,144283,938545,758976,8150183,13617553,1279014,1112979,4083648,4707103,37137,43884,35971
2015,528117,144546,936525,758842,8175272,13707118,1292227,1120967,4144491,4776388,37690,44237,36488
2016,529426,146969,942790,763350,8225950,13875394,1314139,1135987,4196061,4859250,38547,44649,36975
2017,528356,150483,950401,766762,8298827,14072615,1335018,1150926,4243543,4924233,39690,44908,37559
2018,525604,153584,959500,770921,8387632,14318545,1353403,1162978,4300721,5001170,40612,44956,38139
2019,521542,156947,971395,776827,8484965,14566547,1369465,1174462,4371316,5071336,40854,44826,38780
